study,test,cut-off,n,TP,FP,FN,TN
Andreola 2007,CRP,20,408,83,123,11,191
Andreola 2007,CRP,40,408,67,59,27,255
Andreola 2007,CRP,80,408,43,17,51,297
Berger 1996,CRP,20,138,25,32,5,65
Galetto-Lacour 2008,CRP,40,202,44,36,10,112
Hsiao 2006,CRP,2,389,41,246,0,100
Hsiao 2006,CRP,5.2,387,35,158,6,188
Hsiao 2006,CRP,9.8,387,21,68,20,278
Thayyil 2005,CRP,50,72,6,20,2,44
,,,,,,,
Andreola 2007,PCT,0.5,408,69,74,25,240
Andreola 2007,PCT,1,408,60,32,34,282
Andreola 2007,PCT,2,408,45,11,49,303
Galetto-Lacour 2008,PCT,0.5,202,51,47,3,101
Thayyil 2005,PCT,0.5,72,7,32,1,32
Thayyil 2005,PCT,2,72,4,9,4,55